id,river,length
1,guanapo,19.1
2,guanapo,23.3
3,guanapo,18.2
4,guanapo,16.4
5,guanapo,19.7
6,guanapo,16.6
7,guanapo,17.5
8,guanapo,19.9
9,guanapo,19.1
10,guanapo,18.8
11,guanapo,17.8
12,guanapo,21.2
13,guanapo,18.9
14,guanapo,20.3
15,guanapo,19.2
16,guanapo,19
17,guanapo,14.8
18,guanapo,18
19,guanapo,20.9
20,guanapo,17.7
21,guanapo,16.7
22,guanapo,19.6
23,guanapo,18.1
24,guanapo,13.7
25,guanapo,18.8
26,guanapo,13.7
27,guanapo,21.9
28,guanapo,11.2
29,guanapo,20.5
